# x_position concentration_percent
0.068722 -99.999685
0.069553 -99.999606
0.070385 -99.999516
0.071216 -99.999409
0.072048 -99.999280
0.072879 -99.999122
0.073710 -99.998931
0.074542 -99.998702
0.075373 -99.998428
0.076205 -99.998102
0.077036 -99.997713
0.077867 -99.997251
0.078699 -99.996704
0.079530 -99.996059
0.080362 -99.995300
0.081193 -99.994408
0.082024 -99.993364
0.082856 -99.992144
0.083687 -99.990724
0.084519 -99.989075
0.085350 -99.987166
0.086181 -99.984960
0.087013 -99.982420
0.087844 -99.979503
0.088676 -99.976162
0.089507 -99.972347
0.090339 -99.968002
0.091170 -99.963067
0.092001 -99.957478
0.092833 -99.951167
0.093664 -99.944061
0.094496 -99.936081
0.095327 -99.927147
0.096158 -99.917173
0.096990 -99.906070
0.097821 -99.893745
0.098653 -99.880105
0.099484 -99.865054
0.100315 -99.848493
0.101147 -99.830325
0.101978 -99.810454
0.102810 -99.788784
0.103641 -99.765224
0.104472 -99.739687
0.105304 -99.712089
0.106135 -99.682358
0.106967 -99.650425
0.107798 -99.616234
0.108629 -99.579741
0.109461 -99.540913
0.110292 -99.499731
0.111124 -99.456192
0.111955 -99.410311
0.112787 -99.362118
0.113618 -99.311663
0.114449 -99.259016
0.115281 -99.204265
0.116112 -99.147519
0.116944 -99.088906
0.117775 -99.028573
0.118606 -98.966688
0.119438 -98.903433
0.120269 -98.839008
0.121101 -98.773630
0.121932 -98.707523
0.122763 -98.640926
0.123595 -98.574083
0.124426 -98.507243
0.125258 -98.440656
0.126089 -98.374571
0.126920 -98.309230
0.127752 -98.244868
0.128583 -98.181703
0.129415 -98.119941
0.130246 -98.059764
0.131078 -98.001332
0.131909 -97.944777
0.132740 -97.890199
0.133572 -97.837668
0.134403 -97.787213
0.135235 -97.738829
0.136066 -97.692467
0.136897 -97.648039
0.137729 -97.605411
0.138560 -97.564408
0.139392 -97.524809
0.140223 -97.486350
0.141054 -97.448725
0.141886 -97.411582
0.142717 -97.374531
0.143549 -97.337142
0.144380 -97.298947
0.145211 -97.259441
0.146043 -97.218085
0.146874 -97.174311
0.147706 -97.127517
0.148537 -97.077077
0.149368 -97.022338
0.150200 -96.962623
0.151031 -96.897233
0.151863 -96.825448
0.152694 -96.746528
0.153526 -96.659716
0.154357 -96.564236
0.155188 -96.459295
0.156020 -96.344083
0.156851 -96.217773
0.157683 -96.079521
0.158514 -95.928469
0.159345 -95.763740
0.160177 -95.584442
0.161008 -95.389666
0.161840 -95.178487
0.162671 -94.949968
0.163502 -94.703155
0.164334 -94.437085
0.165165 -94.150782
0.165997 -93.843263
0.166828 -93.513543
0.167659 -93.160630
0.168491 -92.783540
0.169322 -92.381290
0.170154 -91.952913
0.170985 -91.497454
0.171817 -91.013983
