model,particle_count,total_time,computation_time,status
DEM,100000,59.19928956,56.5907,Success
PINN,100000,28.04809427,24.9418,Success
COMSOL,100000,131.84,128.47,Success
DEM,200000,116.4356146,113.6683,Success
PINN,200000,51.58310747,47.9665,Success
COMSOL,200000,247.21,241.83,Success
DEM,300000,182.9301829,180.0817,Success
PINN,300000,76.81498766,71.0795,Success
COMSOL,300000,435.18,427.56,Success
DEM,400000,258.6272075,255.7359,Success
PINN,400000,99.76807666,94.949,Success
COMSOL,400000,579.42,571.38,Success
DEM,500000,329.0207157,325.9058,Success
PINN,500000,123.6237233,118.2185,Success
COMSOL,500000,703.67,694.25,Success
DEM,600000,409.4495108,406.0282,Success
PINN,600000,151.227797,144.8159,Success
COMSOL,600000,953.81,942.17,Success
DEM,700000,488.0564668,484.5731,Success
PINN,700000,172.3557091,165.5086,Success
COMSOL,700000,1089.35,1078.63,Success
DEM,800000,560.23086,556.6702,Success
PINN,800000,197.0001898,189.5983,Success
COMSOL,800000,1196.74,1183.42,Success
DEM,900000,636.3882489,632.6683,Success
PINN,900000,220.366215,212.3668,Success
COMSOL,900000,1512.39,1497.85,Success
DEM,1000000,682.3679028,678.3764,Success
PINN,1000000,243.5452652,235.218,Success
COMSOL,1000000,1498.62,1481.29,Success
