simulation_time,PINN,DEM,COMSOL
0.005,9.18,94.83,231.84
0.01,17.31,206.35,418.62
0.015,25.47,336.72,749.38
0.02,31.12,428.16,936.17
0.025,35.46,489.73,1214.83
0.03,48.83,551.64,1323.45
0.035,65.92,678.91,1417.62
0.04,67.71,872.48,1890.34
0.045,66.38,936.27,1944.17
0.05,82.57,1059.83,2452.68
0.055,87.24,978.52,2623.91
0.06,105.83,1152.37,2754.28
0.065,111.46,1326.18,2691.43
0.07,106.29,1512.64,2992.57
0.075,117.83,1409.85,3780.45
0.08,116.54,1616.42,3708.19
0.085,141.37,1785.39,3595.73
0.09,159.72,1673.82,4009.62
0.095,142.95,1842.56,4574.38
0.10,161.48,2198.73,4364.82
