x_mm,relative_change_1.0e+04,relative_change_3.0e+04,relative_change_5.0e+04,relative_change_6.0e+04,relative_change_8.0e+04,relative_change_1.0e+05
2.000000,-15.542462,-40.716258,-59.538355,-66.760198,-77.700619,-85.104579
2.303030,-14.472015,-38.897970,-57.933704,-65.357569,-76.694273,-84.411903
2.606061,-13.239360,-36.742193,-55.998619,-63.657973,-75.468240,-83.565984
2.909091,-11.848449,-34.218455,-53.685536,-61.614262,-73.983930,-82.538720
3.212121,-10.304811,-31.291563,-50.935059,-59.166447,-72.191241,-81.293297
3.515152,-8.615978,-27.921680,-47.673209,-56.238126,-70.024781,-79.781141
3.818182,-6.791951,-24.064749,-43.807977,-52.731683,-67.398502,-77.937492
4.121212,-4.845698,-19.673494,-39.225064,-48.521854,-64.197991,-75.674857
4.424242,-2.793654,-14.699333,-33.782801,-43.447134,-60.269202,-72.873133
4.727273,-0.656188,-9.095661,-27.306387,-37.298367,-55.401778,-69.364334
5.030303,1.542009,-2.823112,-19.582093,-29.803917,-49.303915,-64.908363
5.333333,3.771679,4.142464,-10.352960,-20.611126,-41.563967,-59.153428
5.636364,5.998962,11.798571,0.680571,-9.265124,-31.591104,-51.569209
5.939394,8.185643,20.100680,13.848250,4.810381,-18.523302,-41.330000
6.242424,10.289765,28.943126,29.473208,22.316860,-1.086855,-27.102651
6.545455,12.266639,38.138141,47.790009,44.036526,22.605308,-6.648159
6.848485,14.070288,47.397358,68.789732,70.670391,55.288936,23.942650
7.151515,15.655282,56.323319,91.970871,102.438768,100.609092,71.671696
7.454545,16.978883,64.420969,116.022930,138.313837,162.211247,148.709993
7.757576,18.003329,71.138214,138.589215,174.963492,239.875637,271.578545
8.060606,18.698078,75.937793,156.408893,206.147842,321.016219,439.864421
8.363636,19.041753,78.389615,166.122886,224.041141,375.219014,580.362153
8.666667,19.023578,78.258631,165.592851,223.047935,372.047259,571.447762
8.969697,18.644128,75.557662,154.941191,203.500393,313.501643,422.279045
9.272727,17.915283,70.544441,136.487796,171.420295,231.601505,256.883512
9.575758,16.859411,63.664046,113.637217,134.613789,155.262208,139.214285
9.878788,15.507872,55.459196,89.584176,99.045713,95.394168,65.830054
10.181818,13.899026,46.479031,66.578055,67.772990,51.517877,20.261163
10.484848,12.075985,37.210141,45.834564,41.653045,19.884204,-9.067028
10.787879,10.084326,28.039180,27.792193,20.389697,-3.074971,-28.758898
11.090909,7.969972,19.243836,12.425907,3.260912,-20.001611,-42.506018
11.393939,5.777398,11.002745,-0.513254,-10.512030,-32.710767,-52.430412
11.696970,3.548226,3.414519,-11.351824,-21.618895,-42.426936,-59.800667
12.000000,1.320254,-3.481320,-20.417652,-30.623239,-49.979636,-65.405488
12.303030,-0.873110,-9.685566,-28.006327,-37.968749,-55.938289,-69.753162
12.606061,-3.003071,-15.224344,-34.370393,-43.999052,-60.700310,-73.181885
12.909091,-5.045384,-20.138051,-39.719449,-48.978761,-64.547897,-75.923084
13.212121,-6.980093,-24.473688,-44.224713,-53.111661,-67.684816,-78.139051
13.515152,-8.791132,-28.279829,-48.024869,-56.555171,-70.260506,-79.946053
13.818182,-10.465851,-31.603494,-51.231769,-59.431443,-72.386109,-81.428931
14.121212,-11.994518,-34.488353,-53.935443,-61.835712,-74.145306,-82.650576
14.424242,-13.369823,-36.973789,-56.208267,-63.842549,-75.601749,-83.658213
14.727273,-14.586413,-39.094523,-58.108344,-65.510513,-76.804241,-84.487666
15.030303,-15.640471,-40.880559,-59.682179,-66.885629,-77.790381,-85.166295
15.333333,-16.529347,-42.357321,-60.966789,-68.003987,-78.589177,-85.715055
15.636364,-17.251242,-43.545871,-61.991338,-68.893678,-79.222907,-86.149949
