SPL_dB,Frequency_kHz,Frequency_Hz,Displacement_mm_per_cycle
120,8.0,8000,0.01352539
120,10.0,10000,0.01011190
120,12.0,12000,0.00815575
120,14.0,14000,0.00686514
120,16.0,16000,0.00591096
120,18.0,18000,0.00520639
120,20.0,20000,0.00459362
120,22.0,22000,0.00418488
130,8.0,8000,0.03564822
130,10.0,10000,0.02849214
130,12.0,12000,0.02343521
130,14.0,14000,0.02017704
130,16.0,16000,0.01779353
130,18.0,18000,0.01577547
130,20.0,20000,0.01407268
130,22.0,22000,0.01286040
140,8.0,8000,0.10764465
140,10.0,10000,0.08684842
140,12.0,12000,0.07359198
140,14.0,14000,0.06180087
140,16.0,16000,0.05480197
140,18.0,18000,0.04805915
140,20.0,20000,0.04376085
140,22.0,22000,0.03990314
150,8.0,8000,0.30043539
150,10.0,10000,0.24975126
150,12.0,12000,0.21240463
150,14.0,14000,0.18616938
150,16.0,16000,0.16385956
150,18.0,18000,0.14684111
150,20.0,20000,0.13394202
150,22.0,22000,0.12202240
160,8.0,8000,0.58261293
160,10.0,10000,0.53403210
160,12.0,12000,0.49355699
160,14.0,14000,0.44971562
160,16.0,16000,0.41768806
160,18.0,18000,0.38429007
160,20.0,20000,0.35757058
160,22.0,22000,0.33594598
170,8.0,8000,0.66635085
170,10.0,10000,0.66653869
170,12.0,12000,0.65891518
170,14.0,14000,0.64964519
170,16.0,16000,0.64317735
170,18.0,18000,0.63208197
170,20.0,20000,0.62323276
170,22.0,22000,0.60394258
